,rp_date,cp_id,device,imps,clicks,cost,cv_t
226,2017/8/15,652057083,1,362,1,75,0
227,2017/8/16,652057083,1,482,0,0,0
228,2017/8/17,652057083,1,475,2,244,0
229,2017/8/18,652057083,1,260,2,180,0
230,2017/8/19,652057083,1,349,0,0,0
231,2017/8/20,652057083,1,393,3,314,0
232,2017/8/21,652057083,1,403,2,138,0
233,2017/8/22,652057083,1,275,1,84,0
234,2017/8/23,652057083,1,326,1,59,0
235,2017/8/24,652057083,1,292,0,0,0
236,2017/8/25,652057083,1,274,3,344,0
237,2017/8/26,652057083,1,447,0,0,0
238,2017/8/27,652057083,1,375,0,0,0
239,2017/8/28,652057083,1,313,0,0,0
240,2017/8/29,652057083,1,321,2,184,0
241,2017/8/30,652057083,1,322,3,292,0
242,2017/8/31,652057083,1,277,1,92,0
243,2017/9/1,652057083,1,211,1,138,0
244,2017/9/2,652057083,1,360,1,123,0
245,2017/9/3,652057083,1,401,0,0,0
246,2017/9/4,652057083,1,333,3,331,0
247,2017/9/5,652057083,1,355,2,149,0
248,2017/9/6,652057083,1,396,3,333,0
249,2017/9/7,652057083,1,473,2,151,0
250,2017/9/8,652057083,1,320,1,115,0
251,2017/9/9,652057083,1,411,4,485,0
252,2017/9/10,652057083,1,616,2,389,0
253,2017/9/11,652057083,1,465,3,366,0
254,2017/9/12,652057083,1,300,3,353,0
255,2017/9/13,652057083,1,372,0,0,0
256,2017/9/14,652057083,1,249,1,47,0
257,2017/9/15,652057083,1,106,2,198,0
258,2017/9/16,652057083,1,223,1,83,0
259,2017/9/17,652057083,1,471,0,0,0
260,2017/9/18,652057083,1,361,2,202,0
261,2017/9/19,652057083,1,271,1,71,0
262,2017/9/20,652057083,1,211,2,132,0
263,2017/9/21,652057083,1,183,0,0,0
264,2017/9/22,652057083,1,109,2,123,0
265,2017/9/23,652057083,1,155,3,294,0
266,2017/9/24,652057083,1,198,1,110,0
267,2017/9/25,652057083,1,195,1,77,0
268,2017/9/26,652057083,1,168,2,199,0
269,2017/9/27,652057083,1,126,2,186,0
270,2017/9/28,652057083,1,177,3,224,0
271,2017/9/29,652057083,1,111,0,0,0
272,2017/9/30,652057083,1,166,0,0,0
273,2017/10/1,652057083,1,248,2,127,0
274,2017/10/2,652057083,1,216,1,113,0
275,2017/10/3,652057083,1,325,1,92,0
276,2017/10/4,652057083,1,212,1,138,0
277,2017/10/5,652057083,1,157,1,141,0
278,2017/10/6,652057083,1,119,2,119,0
279,2017/10/7,652057083,1,122,2,223,0
280,2017/10/8,652057083,1,157,5,569,0
281,2017/10/9,652057083,1,128,0,0,0
282,2017/10/10,652057083,1,126,2,172,0
283,2017/10/11,652057083,1,127,4,328,0
284,2017/10/12,652057083,1,166,2,211,0
285,2017/10/13,652057083,1,181,1,83,0
286,2017/10/14,652057083,1,151,4,308,0
287,2017/10/15,652057083,1,233,2,123,0
288,2017/10/16,652057083,1,165,3,484,0
289,2017/10/17,652057083,1,194,2,230,0
290,2017/10/18,652057083,1,154,0,0,0
291,2017/10/19,652057083,1,154,1,112,0
292,2017/10/20,652057083,1,98,0,0,0
293,2017/10/21,652057083,1,164,2,377,0
