pv,click,cost,cv
342,13,1030,0
269,9,700,0
257,17,2230,2
255,12,770,0
270,11,815,1
209,8,788,0
295,9,1770,1
294,12,1350,0
200,9,1290,0
181,6,380,0
173,6,538,0
210,9,969,1
191,11,869,0
235,12,1290,0
263,18,3170,0
146,10,1040,0
216,10,1150,2
202,9,454,0
192,5,465,0
174,12,1010,0
223,4,107,0
240,5,277,0
192,7,760,0
156,4,901,1
212,9,1110,0
205,11,799,1
172,6,420,0
198,5,176,0
321,10,741,0
245,7,376,0
222,7,332,0
221,7,620,0
258,9,595,0
193,6,515,0
237,13,889,0
256,6,569,0
202,9,597,0
169,5,984,1
178,7,491,0
149,3,85,0
141,2,216,0
171,8,1120,0
184,14,786,0
181,4,345,0
215,6,607,0
203,4,638,0
244,13,1200,0
150,3,160,0
186,7,484,0
177,12,1110,0
157,5,400,0
165,6,649,0
144,6,941,0
133,4,443,0
127,4,252,0
138,4,244,0
167,3,232,0
146,5,407,0
134,6,363,0
116,5,330,0
115,5,236,0
71,6,273,0
101,3,336,0
131,8,889,0
120,0,0,0
111,4,222,0
101,6,518,0
118,8,677,0
106,7,798,0
113,3,442,0
93,1,161,0
128,3,81,0
109,7,415,0
116,2,56,0
161,11,708,0
119,6,918,1
152,5,369,0
155,9,542,0
139,4,160,0
121,5,511,0
147,5,700,1
140,5,422,0
126,2,55,0
164,6,327,0
137,7,164,0
124,10,688,0
145,18,1460,0
205,6,420,0
126,11,1340,1
191,3,60,0
174,5,250,0
221,5,129,0
138,7,662,1
145,8,1050,0
169,10,1570,0
160,12,1400,0
126,6,647,0
214,8,1210,1
192,10,640,0
172,5,168,0
159,7,733,0
156,10,590,0
152,3,340,0
144,4,356,0
111,1,30,0
127,4,175,0
151,7,473,0
120,6,494,0
153,7,446,0
143,2,314,0
137,8,1400,0
163,15,1490,0
217,18,2360,0
557,18,1090,0
328,7,369,0
142,9,1230,0
130,3,606,0
170,8,1150,0
239,7,1120,0
199,9,913,0
239,6,445,0
2686.83641,30.27346659,5940.594762,1.895051544
