297941,382606,350147,425332,433729,464339,122683,269220,379892,357035,294198,184011,139258,156051,54229,125104,140470,124295,117451,116844,162358,167019,156221,141020,165697,160294,94934,124345,155594,162180
282293,350147,425332,433729,464339,122683,269220,379892,357035,294198,184011,139258,156051,54229,125104,140470,124295,117451,116844,162358,167019,156221,141020,165697,160294,94934,124345,155594,162180,207620
272958,425332,433729,464339,122683,269220,379892,357035,294198,184011,139258,156051,54229,125104,140470,124295,117451,116844,162358,167019,156221,141020,165697,160294,94934,124345,155594,162180,207620,214908
328973,433729,464339,122683,269220,379892,357035,294198,184011,139258,156051,54229,125104,140470,124295,117451,116844,162358,167019,156221,141020,165697,160294,94934,124345,155594,162180,207620,214908,190099
537917,464339,122683,269220,379892,357035,294198,184011,139258,156051,54229,125104,140470,124295,117451,116844,162358,167019,156221,141020,165697,160294,94934,124345,155594,162180,207620,214908,190099,190274
522706,122683,269220,379892,357035,294198,184011,139258,156051,54229,125104,140470,124295,117451,116844,162358,167019,156221,141020,165697,160294,94934,124345,155594,162180,207620,214908,190099,190274,230129
330494,269220,379892,357035,294198,184011,139258,156051,54229,125104,140470,124295,117451,116844,162358,167019,156221,141020,165697,160294,94934,124345,155594,162180,207620,214908,190099,190274,230129,242223
360740,379892,357035,294198,184011,139258,156051,54229,125104,140470,124295,117451,116844,162358,167019,156221,141020,165697,160294,94934,124345,155594,162180,207620,214908,190099,190274,230129,242223,0
307123,357035,294198,184011,139258,156051,54229,125104,140470,124295,117451,116844,162358,167019,156221,141020,165697,160294,94934,124345,155594,162180,207620,214908,190099,190274,230129,242223,0,0
245950,294198,184011,139258,156051,54229,125104,140470,124295,117451,116844,162358,167019,156221,141020,165697,160294,94934,124345,155594,162180,207620,214908,190099,190274,230129,242223,0,0,0
240666,184011,139258,156051,54229,125104,140470,124295,117451,116844,162358,167019,156221,141020,165697,160294,94934,124345,155594,162180,207620,214908,190099,190274,230129,242223,0,0,0,0
216916,139258,156051,54229,125104,140470,124295,117451,116844,162358,167019,156221,141020,165697,160294,94934,124345,155594,162180,207620,214908,190099,190274,230129,242223,0,0,0,0,0
194680,156051,54229,125104,140470,124295,117451,116844,162358,167019,156221,141020,165697,160294,94934,124345,155594,162180,207620,214908,190099,190274,230129,242223,0,0,0,0,0,0
301710,54229,125104,140470,124295,117451,116844,162358,167019,156221,141020,165697,160294,94934,124345,155594,162180,207620,214908,190099,190274,230129,242223,0,0,0,0,0,0,0
